Date,Open,High,Low,Close,Adj Close,Volume
2017-02-13,84.660004,85.239998,84.110001,84.970001,74.958786,432200
2017-02-14,84.970001,85.050003,83.559998,84.300003,74.367683,365300
2017-02-15,84.320000,86.000000,84.320000,85.709999,75.611572,613900
2017-02-16,85.849998,88.580002,84.970001,87.610001,77.287720,776300
2017-02-17,87.400002,87.660004,86.199997,86.540001,76.343796,405700
2017-02-21,86.389999,87.690002,86.389999,87.620003,77.296539,427300
2017-02-22,87.040001,87.500000,85.540001,86.629997,76.423164,625300
2017-02-23,87.019997,87.279999,83.220001,83.870003,73.988373,659200
2017-02-24,82.769997,84.230003,82.260002,84.080002,74.173622,372300
2017-02-27,84.209999,86.199997,83.800003,85.290001,75.241058,943600
2017-02-28,85.330002,86.209999,83.910004,84.650002,74.676468,612600
2017-03-01,86.110001,87.779999,86.089996,87.279999,76.996597,566900
2017-03-02,86.820000,87.459999,84.540001,84.570000,74.605896,369700
2017-03-03,84.500000,85.339996,83.620003,84.620003,74.649994,436000
2017-03-06,83.419998,84.190002,83.180000,83.820000,73.944252,435600
2017-03-07,83.839996,83.839996,81.660004,81.739998,72.109322,535700
2017-03-08,81.570000,82.160004,80.500000,81.199997,72.029495,635900
2017-03-09,80.709999,81.989998,80.160004,80.550003,71.452888,541000
2017-03-10,80.849998,81.809998,80.150002,80.260002,71.195641,460100
2017-03-13,81.160004,81.570000,80.459999,80.830002,71.701286,610300
2017-03-14,81.400002,82.370003,80.250000,81.900002,72.650452,763500
2017-03-15,82.400002,84.290001,81.580002,83.839996,74.371338,735000
2017-03-16,84.879997,85.239998,82.480003,82.629997,73.297989,471500
2017-03-17,83.059998,84.410004,82.320000,82.360001,73.058464,697700
2017-03-20,82.529999,82.559998,81.339996,81.830002,72.588333,545100
2017-03-21,82.209999,82.260002,78.809998,79.699997,70.698891,683500
2017-03-22,79.769997,80.620003,79.239998,80.050003,71.009361,462400
2017-03-23,79.989998,80.980003,79.199997,79.389999,70.423912,302500
2017-03-24,79.400002,80.070000,78.459999,78.809998,69.909409,478300
2017-03-27,77.139999,78.190002,76.180000,77.889999,69.093307,768200
2017-03-28,77.889999,80.470001,77.889999,79.599998,70.610184,476900
2017-03-29,79.320000,79.959999,79.080002,79.339996,70.379555,410400
2017-03-30,79.230003,80.400002,79.120003,80.120003,71.071457,436300
2017-03-31,79.879997,80.769997,79.349998,80.019997,70.982735,377600
2017-04-03,80.239998,81.110001,79.120003,79.730003,70.725510,431200
2017-04-04,79.760002,81.180000,79.529999,80.290001,71.222275,524900
2017-04-05,80.910004,81.510002,78.120003,78.239998,69.403778,512900
2017-04-06,78.190002,78.989998,77.570000,78.570000,69.696495,365500
2017-04-07,78.309998,80.129997,78.010002,79.540001,70.556969,573200
2017-04-10,79.800003,79.889999,78.169998,78.440002,69.581184,415200
2017-04-11,78.449997,79.730003,77.870003,79.470001,70.494865,424900
2017-04-12,78.599998,79.160004,77.120003,77.239998,68.516708,457500
2017-04-13,77.449997,77.830002,75.800003,75.870003,67.301453,572600
2017-04-17,76.320000,76.650002,75.019997,75.820000,67.257080,581200
2017-04-18,74.949997,76.150002,74.139999,75.320000,66.813553,562200
2017-04-19,75.830002,76.330002,74.849998,75.050003,66.574036,519200
2017-04-20,76.089996,77.230003,75.050003,76.879997,68.197380,667000
2017-04-21,76.730003,77.080002,75.930000,76.940002,68.250610,512800
2017-04-24,78.160004,79.089996,77.510002,78.769997,69.873909,436800
2017-04-25,79.769997,79.970001,78.500000,79.169998,70.228760,439600
2017-04-26,77.800003,79.940002,77.070000,79.650002,70.654526,870700
2017-04-27,78.239998,82.279999,77.599998,80.529999,71.435143,1116100
2017-04-28,80.900002,81.000000,78.690002,78.820000,69.918297,599000
2017-05-01,79.160004,80.059998,78.279999,78.680000,69.794083,399500
2017-05-02,78.480003,78.900002,77.089996,77.580002,68.818314,596400
2017-05-03,76.839996,76.989998,74.970001,75.290001,66.786942,550600
2017-05-04,74.650002,75.139999,73.820000,74.709999,66.272469,506500
2017-05-05,75.110001,75.489998,74.230003,75.360001,66.849045,401700
2017-05-08,74.910004,75.570000,74.559998,75.379997,66.866768,470000
2017-05-09,75.339996,75.599998,73.739998,74.050003,65.686989,709900
2017-05-10,74.139999,74.830002,73.449997,73.559998,65.252327,910400
2017-05-11,73.440002,73.610001,72.559998,72.809998,64.587044,592200
2017-05-12,72.019997,72.720001,71.610001,72.139999,63.992699,671000
2017-05-15,72.500000,73.330002,72.379997,72.919998,64.684616,470200
2017-05-16,73.300003,73.709999,72.129997,72.690002,64.480568,475300
2017-05-17,72.690002,72.690002,71.080002,71.730003,63.628998,508900
2017-05-18,71.260002,72.419998,70.500000,71.349998,63.291924,573400
2017-05-19,71.820000,72.639999,71.489998,71.980003,63.850758,635900
2017-05-22,72.250000,72.690002,71.199997,71.260002,63.212074,433600
2017-05-23,72.779999,74.839996,71.959999,74.230003,65.846664,823400
2017-05-24,74.199997,74.949997,72.989998,73.250000,65.373657,863800
2017-05-25,73.570000,73.800003,72.650002,73.169998,65.302254,517400
2017-05-26,73.080002,73.080002,72.129997,72.839996,65.007729,500100
2017-05-30,72.529999,73.370003,72.309998,72.750000,64.927414,617400
2017-05-31,72.730003,73.449997,72.370003,72.949997,65.105896,601000
2017-06-01,73.419998,74.800003,72.830002,74.750000,66.712364,689600
2017-06-02,74.639999,74.870003,74.000000,74.360001,66.364281,522700
2017-06-05,74.260002,75.180000,73.940002,74.720001,66.685577,329000
2017-06-06,74.639999,74.639999,73.169998,73.309998,65.427185,577400
2017-06-07,73.629997,74.419998,72.580002,73.129997,65.266541,502300
2017-06-08,72.970001,75.970001,72.809998,75.419998,67.310303,671400
2017-06-09,75.660004,76.050003,74.589996,75.519997,67.399551,545900
2017-06-12,75.519997,77.019997,75.290001,76.629997,68.390190,548800
2017-06-13,76.839996,78.000000,76.489998,76.580002,68.345581,397900
2017-06-14,76.739998,76.739998,74.120003,74.570000,66.551712,566600
2017-06-15,73.919998,73.989998,71.500000,71.779999,64.061707,741500
2017-06-16,71.330002,72.440002,70.989998,72.440002,64.650757,949200
2017-06-19,72.989998,73.860001,72.430000,72.510002,64.713219,332900
2017-06-20,70.050003,71.589996,69.519997,69.839996,62.330311,941300
2017-06-21,69.839996,70.879997,69.309998,70.470001,62.892582,813600
2017-06-22,70.660004,71.070000,69.989998,70.970001,63.338818,465300
2017-06-23,71.750000,72.110001,70.879997,71.430000,63.749348,808200
2017-06-26,71.660004,71.790001,70.300003,71.320000,63.651188,398600
2017-06-27,71.849998,72.510002,70.750000,70.750000,63.142464,464500
2017-06-28,71.580002,73.180000,71.250000,72.790001,64.963112,638100
2017-06-29,73.089996,73.769997,72.500000,73.099998,65.239761,583100
2017-06-30,73.570000,74.559998,72.790001,72.809998,64.980988,613400
2017-07-03,73.019997,74.019997,72.889999,73.739998,65.810966,240500
2017-07-05,73.839996,74.010002,72.010002,73.360001,65.471825,428600
2017-07-06,73.260002,74.059998,72.959999,73.279999,65.400421,435600
2017-07-07,73.419998,73.949997,71.349998,72.529999,64.731064,344700
2017-07-10,72.320000,73.589996,71.540001,72.500000,64.704277,619300
2017-07-11,72.699997,73.279999,72.500000,72.980003,65.132675,610100
2017-07-12,73.610001,74.129997,72.750000,72.910004,65.070198,652900
2017-07-13,73.169998,74.529999,72.480003,74.000000,66.042992,610200
2017-07-14,74.190002,74.190002,73.300003,73.529999,65.623535,292600
2017-07-17,73.910004,75.209999,73.510002,75.010002,66.944405,472700
2017-07-18,75.000000,75.089996,73.870003,74.269997,66.283974,525500
2017-07-19,74.010002,75.190002,73.500000,74.959999,66.899773,914200
2017-07-20,74.959999,75.680000,74.220001,75.550003,67.426346,549800
2017-07-21,75.400002,75.699997,75.000000,75.089996,67.015793,359500
2017-07-24,75.160004,75.209999,74.309998,74.400002,66.399986,456100
2017-07-25,75.389999,76.610001,75.370003,76.209999,68.015358,570700
2017-07-26,76.309998,76.309998,73.019997,73.900002,65.953758,963000
2017-07-27,75.000000,75.750000,74.019997,74.379997,66.382133,689100
2017-07-28,73.839996,73.839996,71.330002,71.750000,64.034943,632400
2017-07-31,72.129997,72.489998,71.830002,72.360001,64.579353,587700
2017-08-01,72.610001,72.809998,71.779999,71.919998,64.186646,471500
2017-08-02,71.449997,72.400002,71.449997,72.029999,64.284836,401100
2017-08-03,71.959999,72.389999,71.800003,72.019997,64.275902,347100
2017-08-04,72.180000,72.930000,72.110001,72.480003,64.686447,283300
2017-08-07,73.040001,73.750000,73.019997,73.209999,65.337952,648100
2017-08-08,73.220001,74.019997,72.279999,72.959999,65.114822,266200
2017-08-09,72.669998,72.669998,71.889999,72.339996,64.561485,361800
2017-08-10,72.000000,72.309998,71.389999,71.400002,63.722569,330200
2017-08-11,70.610001,71.620003,70.129997,70.239998,62.687305,392300
2017-08-14,70.730003,71.129997,70.239998,70.820000,63.204922,298500
2017-08-15,71.000000,71.440002,69.580002,70.139999,62.598068,253000
